Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
161.2,2.568,3.7982,0.26328,2.7426,4.1055,63.501,17.668,26.447,1015,0.1992,5.8754,0.11303,supercritical
161.51,2.568,3.7909,0.26379,2.7481,4.1136,63.551,17.681,26.458,1015.8,0.19678,5.8829,0.11323,supercritical
161.81,2.568,3.7837,0.26429,2.7536,4.1217,63.602,17.694,26.469,1016.6,0.19436,5.8904,0.11342,supercritical
162.12,2.568,3.7765,0.2648,2.759,4.1298,63.652,17.707,26.48,1017.5,0.19196,5.8979,0.11361,supercritical
162.42,2.568,3.7693,0.2653,2.7645,4.138,63.702,17.72,26.491,1018.3,0.18957,5.9054,0.11381,supercritical
162.73,2.568,3.7621,0.26581,2.77,4.1461,63.751,17.733,26.502,1019.1,0.18719,5.9128,0.114,supercritical
163.04,2.568,3.755,0.26631,2.7755,4.1542,63.801,17.746,26.513,1019.9,0.18482,5.9203,0.11419,supercritical
163.34,2.568,3.7479,0.26682,2.781,4.1623,63.851,17.759,26.524,1020.7,0.18247,5.9278,0.11439,supercritical
163.65,2.568,3.7408,0.26732,2.7866,4.1704,63.901,17.772,26.535,1021.5,0.18012,5.9353,0.11458,supercritical
163.95,2.568,3.7338,0.26783,2.7921,4.1785,63.95,17.785,26.545,1022.3,0.17779,5.9427,0.11477,supercritical
164.26,2.568,3.7267,0.26833,2.7976,4.1867,64,17.798,26.556,1023.1,0.17547,5.9502,0.11497,supercritical
164.57,2.568,3.7198,0.26883,2.8031,4.1948,64.049,17.81,26.567,1023.9,0.17316,5.9576,0.11516,supercritical
164.87,2.568,3.7128,0.26934,2.8086,4.2029,64.099,17.823,26.578,1024.7,0.17086,5.9651,0.11535,supercritical
165.18,2.568,3.7059,0.26984,2.8142,4.2111,64.148,17.836,26.588,1025.6,0.16857,5.9725,0.11555,supercritical
165.49,2.568,3.6989,0.27035,2.8197,4.2192,64.197,17.848,26.599,1026.4,0.1663,5.98,0.11574,supercritical
165.79,2.568,3.6921,0.27085,2.8252,4.2274,64.246,17.861,26.61,1027.2,0.16403,5.9874,0.11593,supercritical
166.1,2.568,3.6852,0.27136,2.8308,4.2355,64.295,17.873,26.62,1028,0.16177,5.9948,0.11612,supercritical
166.4,2.568,3.6784,0.27186,2.8363,4.2437,64.344,17.886,26.631,1028.8,0.15953,6.0023,0.11632,supercritical
166.71,2.568,3.6716,0.27236,2.8418,4.2518,64.393,17.898,26.641,1029.6,0.1573,6.0097,0.11651,supercritical
167.02,2.568,3.6648,0.27287,2.8474,4.26,64.442,17.911,26.652,1030.4,0.15507,6.0171,0.1167,supercritical
167.32,2.568,3.658,0.27337,2.8529,4.2681,64.491,17.923,26.662,1031.2,0.15286,6.0245,0.11689,supercritical
167.63,2.568,3.6513,0.27388,2.8585,4.2763,64.54,17.935,26.673,1032,0.15066,6.0319,0.11709,supercritical
167.93,2.568,3.6446,0.27438,2.8641,4.2845,64.589,17.947,26.683,1032.8,0.14847,6.0393,0.11728,supercritical
