Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
645.42	6.2500	36.639	0.027293	13.892	19.350	194.23	24.282	33.002	485.78	0.17177	37.355	0.051831	supercritical
646.88	6.2500	36.556	0.027355	13.928	19.399	194.30	24.295	33.013	486.28	0.16842	37.411	0.051920	supercritical
648.34	6.2500	36.473	0.027417	13.963	19.447	194.38	24.308	33.023	486.79	0.16509	37.467	0.052009	supercritical
649.80	6.2500	36.391	0.027480	13.999	19.495	194.45	24.320	33.034	487.29	0.16178	37.523	0.052098	supercritical
651.25	6.2500	36.309	0.027542	14.035	19.543	194.53	24.333	33.044	487.80	0.15848	37.579	0.052187	supercritical
652.71	6.2500	36.227	0.027604	14.071	19.591	194.60	24.345	33.055	488.30	0.15521	37.635	0.052276	supercritical
654.17	6.2500	36.146	0.027666	14.107	19.640	194.67	24.358	33.065	488.80	0.15195	37.691	0.052365	supercritical
655.63	6.2500	36.065	0.027728	14.143	19.688	194.75	24.371	33.076	489.30	0.14872	37.746	0.052454	supercritical
657.09	6.2500	35.984	0.027790	14.178	19.736	194.82	24.383	33.086	489.80	0.14550	37.802	0.052543	supercritical
658.55	6.2500	35.904	0.027852	14.214	19.785	194.89	24.396	33.097	490.30	0.14230	37.857	0.052632	supercritical
660.01	6.2500	35.824	0.027914	14.250	19.833	194.97	24.408	33.107	490.80	0.13912	37.913	0.052721	supercritical
661.47	6.2500	35.745	0.027976	14.286	19.881	195.04	24.420	33.117	491.30	0.13596	37.968	0.052809	supercritical
662.93	6.2500	35.666	0.028038	14.322	19.929	195.11	24.433	33.128	491.80	0.13282	38.024	0.052898	supercritical
664.39	6.2500	35.587	0.028100	14.358	19.978	195.19	24.445	33.138	492.29	0.12969	38.079	0.052987	supercritical
665.85	6.2500	35.509	0.028162	14.394	20.026	195.26	24.458	33.149	492.79	0.12658	38.135	0.053075	supercritical
667.31	6.2500	35.431	0.028224	14.430	20.075	195.33	24.470	33.159	493.29	0.12349	38.190	0.053164	supercritical
