Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
301,10,134,0.0074629,5.6268,8.0149,165.1,21.788,34.7,339.99,2.0206,23.199,0.031518,supercritical
302.46,10,133.16,0.0075097,5.6625,8.0655,165.27,21.786,34.63,340.92,2.0022,23.266,0.031594,supercritical
303.92,10,132.34,0.0075563,5.698,8.1159,165.44,21.785,34.562,341.84,1.9841,23.333,0.03167,supercritical
305.38,10,131.53,0.0076028,5.7335,8.1663,165.6,21.784,34.496,342.76,1.9661,23.4,0.031747,supercritical
306.84,10,130.73,0.0076492,5.769,8.2166,165.77,21.783,34.432,343.67,1.9483,23.467,0.031822,supercritical
308.3,10,129.95,0.0076955,5.8044,8.2668,165.93,21.782,34.369,344.58,1.9307,23.534,0.031896,supercritical
309.76,10,129.17,0.0077417,5.8397,8.317,166.09,21.782,34.309,345.49,1.9133,23.601,0.031966,supercritical
311.22,10,128.41,0.0077878,5.875,8.367,166.25,21.782,34.249,346.39,1.896,23.669,0.032049,supercritical
312.67,10,127.65,0.0078338,5.9102,8.4169,166.41,21.782,34.192,347.28,1.8789,23.736,0.032133,supercritical
314.13,10,126.91,0.0078797,5.9454,8.4668,166.57,21.783,34.136,348.18,1.862,23.803,0.032216,supercritical
315.59,10,126.18,0.0079255,5.9805,8.5166,166.73,21.783,34.081,349.06,1.8452,23.871,0.0323,supercritical
317.05,10,125.45,0.0079712,6.0156,8.5663,166.89,21.784,34.028,349.95,1.8286,23.938,0.032385,supercritical
318.51,10,124.74,0.0080168,6.0506,8.6159,167.05,21.786,33.977,350.82,1.8121,24.006,0.032469,supercritical
319.97,10,124.03,0.0080623,6.0856,8.6654,167.2,21.787,33.926,351.7,1.7959,24.073,0.032554,supercritical
321.43,10,123.34,0.0081077,6.1205,8.7149,167.35,21.789,33.877,352.57,1.7797,24.141,0.032639,supercritical
322.89,10,122.65,0.008153,6.1554,8.7643,167.51,21.791,33.83,353.44,1.7638,24.208,0.032725,supercritical
324.35,10,121.98,0.0081982,6.1903,8.8136,167.66,21.793,33.784,354.3,1.748,24.276,0.03281,supercritical
325.81,10,121.31,0.0082434,6.2251,8.8629,167.81,21.796,33.738,355.16,1.7323,24.344,0.032896,supercritical
327.27,10,120.65,0.0082885,6.2599,8.9121,167.96,21.799,33.695,356.01,1.7168,24.411,0.032982,supercritical
328.73,10,120,0.0083334,6.2947,8.9613,168.11,21.802,33.652,356.86,1.7014,24.479,0.033069,supercritical
330.19,10,119.36,0.0083783,6.3294,9.0103,168.26,21.805,33.61,357.71,1.6862,24.546,0.033155,supercritical
