Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
307.29	20.265	8.2675	0.12095	161.88	238.48	4.9455	0.69691	1.2136	373.87	1.2661	27.354	0.038226	supercritical
310.54	20.265	8.147	0.12274	164.67	242.41	4.9582	0.69652	1.205	375.51	1.2473	27.409	0.0382	supercritical
313.78	20.265	8.0306	0.12452	167.44	246.3	4.9707	0.69618	1.1968	377.15	1.2285	27.47	0.03825	supercritical
317.02	20.265	7.9182	0.12629	170.19	250.17	4.9829	0.6959	1.189	378.79	1.2096	27.536	0.038308	supercritical
320.26	20.265	7.8096	0.12805	172.92	254.01	4.995	0.69566	1.1817	380.43	1.1907	27.606	0.038373	supercritical
323.51	20.265	7.7044	0.1298	175.63	257.83	5.0068	0.69548	1.1747	382.06	1.1719	27.68	0.038444	supercritical
326.75	20.265	7.6026	0.13153	178.33	261.63	5.0185	0.69534	1.1681	383.7	1.153	27.758	0.038523	supercritical
329.99	20.265	7.504	0.13326	181.01	265.41	5.03	0.69525	1.1619	385.33	1.1343	27.839	0.038607	supercritical
333.24	20.265	7.4084	0.13498	183.68	269.17	5.0414	0.6952	1.1559	386.95	1.1157	27.924	0.038697	supercritical
336.48	20.265	7.3157	0.13669	186.34	272.9	5.0525	0.6952	1.1503	388.57	1.0971	28.011	0.038792	supercritical
339.72	20.265	7.2257	0.13839	188.98	276.63	5.0635	0.69523	1.145	390.19	1.0787	28.102	0.038892	supercritical
342.96	20.265	7.1383	0.14009	191.61	280.33	5.0744	0.6953	1.1399	391.8	1.0604	28.194	0.038996	supercritical
346.21	20.265	7.0534	0.14178	194.23	284.02	5.0851	0.69541	1.1351	393.4	1.0422	28.29	0.039105	supercritical
349.45	20.265	6.9709	0.14345	196.84	287.69	5.0957	0.69556	1.1305	395	1.0242	28.387	0.039218	supercritical
352.69	20.265	6.8906	0.14513	199.44	291.35	5.1061	0.69573	1.1261	396.59	1.0064	28.487	0.039335	supercritical
355.94	20.265	6.8125	0.14679	202.03	295	5.1164	0.69594	1.122	398.17	0.98871	28.588	0.039455	supercritical
359.18	20.265	6.7364	0.14845	204.62	298.63	5.1265	0.69619	1.1181	399.74	0.9712	28.691	0.039578	supercritical
362.42	20.265	6.6623	0.1501	207.19	302.25	5.1366	0.69646	1.1143	401.31	0.95386	28.795	0.039705	supercritical
365.66	20.265	6.5902	0.15174	209.76	305.86	5.1465	0.69676	1.1108	402.87	0.9367	28.902	0.039835	supercritical
368.91	20.265	6.5198	0.15338	212.32	309.45	5.1563	0.69709	1.1074	404.42	0.91972	29.009	0.039968	supercritical
372.15	20.265	6.4512	0.15501	214.87	313.04	5.1659	0.69744	1.1042	405.97	0.90293	29.118	0.040103	supercritical
375.39	20.265	6.3842	0.15664	217.41	316.61	5.1755	0.69782	1.1011	407.51	0.88633	29.228	0.04024	supercritical
378.63	20.265	6.3189	0.15826	219.95	320.18	5.185	0.69823	1.0982	409.03	0.86992	29.339	0.040381	supercritical
381.88	20.265	6.255	0.15987	222.49	323.74	5.1943	0.69866	1.0954	410.56	0.85369	29.451	0.040523	supercritical
