Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
391.94,20.265,5.6564,0.17679,3638.8,5416,35.397,10.472,14.704,1657.4,-0.47256,10.955,0.24041,supercritical
393.58,20.265,5.6346,0.17747,3656.1,5440.2,35.458,10.473,14.703,1660.1,-0.47353,10.985,0.24106,supercritical
395.23,20.265,5.613,0.17816,3673.4,5464.3,35.519,10.473,14.702,1662.9,-0.47449,11.014,0.24171,supercritical
396.87,20.265,5.5916,0.17884,3690.7,5488.5,35.58,10.474,14.701,1665.7,-0.47544,11.043,0.24236,supercritical
398.51,20.265,5.5704,0.17952,3708,5512.6,35.641,10.474,14.7,1668.5,-0.47639,11.073,0.24301,supercritical
400.16,20.265,5.5493,0.1802,3725.3,5536.8,35.702,10.475,14.699,1671.3,-0.47733,11.102,0.24366,supercritical
401.8,20.265,5.5284,0.18089,3742.6,5560.9,35.762,10.475,14.698,1674,-0.47826,11.131,0.24431,supercritical
403.44,20.265,5.5076,0.18157,3759.9,5585.1,35.822,10.476,14.697,1676.8,-0.47918,11.161,0.24496,supercritical
405.09,20.265,5.487,0.18225,3777.2,5609.3,35.882,10.476,14.696,1679.5,-0.4801,11.19,0.24561,supercritical
406.73,20.265,5.4666,0.18293,3794.5,5633.4,35.941,10.477,14.695,1682.3,-0.48102,11.219,0.24625,supercritical
408.37,20.265,5.4463,0.18361,3811.8,5657.6,36,10.477,14.694,1685.1,-0.48192,11.248,0.2469,supercritical
410.02,20.265,5.4261,0.18429,3829.1,5681.7,36.059,10.477,14.693,1687.8,-0.48282,11.277,0.24754,supercritical
411.66,20.265,5.4061,0.18497,3846.4,5705.8,36.118,10.478,14.692,1690.5,-0.48371,11.307,0.24818,supercritical
413.3,20.265,5.3863,0.18566,3863.6,5730,36.177,10.478,14.691,1693.3,-0.4846,11.336,0.24883,supercritical
414.95,20.265,5.3666,0.18634,3880.9,5754.1,36.235,10.478,14.69,1696,-0.48548,11.365,0.24947,supercritical
416.59,20.265,5.3471,0.18702,3898.2,5778.3,36.293,10.479,14.689,1698.8,-0.48635,11.394,0.25011,supercritical
418.23,20.265,5.3277,0.1877,3915.5,5802.4,36.351,10.479,14.688,1701.5,-0.48722,11.423,0.25075,supercritical
419.88,20.265,5.3084,0.18838,3932.8,5826.5,36.409,10.479,14.687,1704.2,-0.48808,11.452,0.25139,supercritical
421.52,20.265,5.2893,0.18906,3950.1,5850.7,36.466,10.479,14.685,1706.9,-0.48894,11.481,0.25203,supercritical
423.16,20.265,5.2703,0.18974,3967.4,5874.8,36.523,10.48,14.684,1709.6,-0.48979,11.51,0.25267,supercritical
424.81,20.265,5.2515,0.19042,3984.7,5898.9,36.58,10.48,14.683,1712.4,-0.49063,11.539,0.25331,supercritical
426.45,20.265,5.2328,0.1911,4002,5923.1,36.637,10.48,14.682,1715.1,-0.49146,11.568,0.25395,supercritical
428.1,20.265,5.2142,0.19178,4019.3,5947.2,36.693,10.48,14.681,1717.8,-0.49229,11.597,0.25459,supercritical
429.74,20.265,5.1958,0.19246,4036.6,5971.3,36.749,10.48,14.68,1720.5,-0.49312,11.626,0.25522,supercritical
431.38,20.265,5.1775,0.19314,4053.9,5995.5,36.805,10.481,14.679,1723.2,-0.49394,11.655,0.25586,supercritical
433.03,20.265,5.1594,0.19382,4071.1,6019.6,36.861,10.481,14.678,1725.8,-0.49475,11.684,0.25649,supercritical
434.67,20.265,5.1413,0.1945,4088.4,6043.7,36.917,10.481,14.677,1728.5,-0.49556,11.713,0.25713,supercritical
436.31,20.265,5.1234,0.19518,4105.7,6067.8,36.972,10.481,14.676,1731.2,-0.49636,11.742,0.25776,supercritical
