x_mm,r_mm
-294.93086,41.93708
-294.73086,41.93708
-294.53086,41.93708
-294.33086,41.93708
-294.13086,41.93708
-293.93086,41.93708
-293.73086,41.93708
-293.53086,41.93708
-293.33086,41.93708
-293.13086,41.93708
-292.93086,41.93708
-292.73086,41.93708
-292.53086,41.93708
-292.33086,41.93708
-292.13086,41.93708
-291.93086,41.93708
-291.73086,41.93708
-291.53086,41.93708
-291.33086,41.93708
-291.13086,41.93708
-290.93086,41.93708
-290.73086,41.93708
-290.53086,41.93708
-290.33086,41.93708
-290.13086,41.93708
-289.93086,41.93708
-289.73086,41.93708
-289.53086,41.93708
-289.33086,41.93708
-289.13086,41.93708
-288.93086,41.93708
-288.73086,41.93708
-288.53086,41.93708
-288.33086,41.93708
-288.13086,41.93708
-287.93086,41.93708
-287.73086,41.93708
-287.53086,41.93708
-287.33086,41.93708
-287.13086,41.93708
-286.93086,41.93708
-286.73086,41.93708
-286.53086,41.93708
-286.33086,41.93708
-286.13086,41.93708
-285.93086,41.93708
-285.73086,41.93708
-285.53086,41.93708
-285.33086,41.93708
-285.13086,41.93708
-284.93086,41.93708
-284.73086,41.93708
-284.53086,41.93708
-284.33086,41.93708
-284.13086,41.93708
-283.93086,41.93708
-283.73086,41.93708
-283.53086,41.93708
-283.33086,41.93708
-283.13086,41.93708
-282.93086,41.93708
-282.73086,41.93708
-282.53086,41.93708
-282.33086,41.93708
-282.13086,41.93708
-281.93086,41.93708
-281.73086,41.93708
-281.53086,41.93708
-281.33086,41.93708
-281.13086,41.93708
-280.93086,41.93708
-280.73086,41.93708
-280.53086,41.93708
-280.33086,41.93708
-280.13086,41.93708
-279.93086,41.93708
-279.73086,41.93708
-279.53086,41.93708
-279.33086,41.93708
-279.13086,41.93708
-278.93086,41.93708
-278.73086,41.93708
-278.53086,41.93708
-278.33086,41.93708
-278.13086,41.93708
-277.93086,41.93708
-277.73086,41.93708
-277.53086,41.93708
-277.33086,41.93708
-277.13086,41.93708
-276.93086,41.93708
-276.73086,41.93708
-276.53086,41.93708
-276.33086,41.93708
-276.13086,41.93708
-275.93086,41.93708
-275.73086,41.93708
-275.53086,41.93708
-275.33086,41.93708
-275.13086,41.93708
-274.93086,41.93708
-274.73086,41.93708
-274.53086,41.93708
-274.33086,41.93708
-274.13086,41.93708
-273.93086,41.93708
-273.73086,41.93708
-273.53086,41.93708
-273.33086,41.93708
-273.13086,41.93708
-272.93086,41.93708
-272.73086,41.93708
-272.53086,41.93708
-272.33086,41.93708
-272.13086,41.93708
-271.93086,41.93708
-271.73086,41.93708
-271.53086,41.93708
-271.33086,41.93708
-271.13086,41.93708
-270.93086,41.93708
-270.73086,41.93708
-270.53086,41.93708
-270.33086,41.93708
-270.13086,41.93708
-269.93086,41.93708
-269.73086,41.93708
-269.53086,41.93708
-269.33086,41.93708
-269.13086,41.93708
-268.93086,41.93708
-268.73086,41.93708
-268.53086,41.93708
-268.33086,41.93708
-268.13086,41.93708
-267.93086,41.93708
-267.73086,41.93708
-267.53086,41.93708
-267.33086,41.93708
-267.13086,41.93708
-266.93086,41.93708
-266.73086,41.93708
-266.53086,41.93708
-266.33086,41.93708
-266.13086,41.93708
-265.93086,41.93708
-265.73086,41.93708
-265.53086,41.93708
-265.33086,41.93708
-265.13086,41.93708
-264.93086,41.93708
-264.73086,41.93708
-264.53086,41.93708
-264.33086,41.93708
-264.13086,41.93708
-263.93086,41.93708
-263.73086,41.93708
-263.53086,41.93708
-263.33086,41.93708
-263.13086,41.93708
-262.93086,41.93708
-262.73086,41.93708
-262.53086,41.93708
-262.33086,41.93708
-262.13086,41.93708
-261.93086,41.93708
-261.73086,41.93708
-261.53086,41.93708
-261.33086,41.93708
-261.13086,41.93708
-260.93086,41.93708
-260.73086,41.93708
-260.53086,41.93708
-260.33086,41.93708
-260.13086,41.93708
-259.93086,41.93708
-259.73086,41.93708
-259.53086,41.93708
-259.33086,41.93708
-259.13086,41.93708
-258.93086,41.93708
-258.73086,41.93708
-258.53086,41.93708
-258.33086,41.93708
-258.13086,41.93708
-257.93086,41.93708
-257.73086,41.93708
-257.53086,41.93708
-257.33086,41.93708
-257.13086,41.93708
-256.93086,41.93708
-256.73086,41.93708
-256.53086,41.93708
-256.33086,41.93708
-256.13086,41.93708
-255.93086,41.93708
-255.73086,41.93708
-255.53086,41.93708
-255.33086,41.93708
-255.13086,41.93708
-254.93086,41.93708
-254.73086,41.93708
-254.53086,41.93708
-254.33086,41.93708
-254.13086,41.93708
-253.93086,41.93708
-253.73086,41.93708
-253.53086,41.93708
-253.33086,41.93708
-253.13086,41.93708
-252.93086,41.93708
-252.73086,41.93708
-252.53086,41.93708
-252.33086,41.93708
-252.13086,41.93708
-251.93086,41.93708
-251.73086,41.93708
-251.53086,41.93708
-251.33086,41.93708
-251.13086,41.93708
-250.93086,41.93708
-250.73086,41.93708
-250.53086,41.93708
-250.33086,41.93708
-250.13086,41.93708
-249.93086,41.93708
-249.73086,41.93708
-249.53086,41.93708
-249.33086,41.93708
-249.13086,41.93708
-248.93086,41.93708
-248.73086,41.93708
-248.53086,41.93708
-248.33086,41.93708
-248.13086,41.93708
-247.93086,41.93708
-247.73086,41.93708
-247.53086,41.93708
-247.33086,41.93708
-247.13086,41.93708
-246.93086,41.93708
-246.73086,41.93708
-246.53086,41.93708
-246.33086,41.93708
-246.13086,41.93708
-245.93086,41.93708
-245.73086,41.93708
-245.53086,41.93708
-245.33086,41.93708
-245.13086,41.93708
-244.93086,41.93708
-244.73086,41.93708
-244.53086,41.93708
-244.33086,41.93708
-244.13086,41.93708
-243.93086,41.93708
-243.73086,41.93708
-243.53086,41.93708
-243.33086,41.93708
-243.13086,41.93708
-242.93086,41.93708
-242.73086,41.93708
-242.53086,41.93708
-242.33086,41.93708
-242.13086,41.93708
-241.93086,41.93708
-241.73086,41.93708
-241.53086,41.93708
-241.33086,41.93708
-241.13086,41.93708
-240.93086,41.93708
